timestamp;value;datetime
1759474800000;83.9;2025-10-03 07:00:00
1759478400000;60.0;2025-10-03 08:00:00
1759482000000;40.5;2025-10-03 09:00:00
1759485600000;26.35;2025-10-03 10:00:00
1759489200000;16.5;2025-10-03 11:00:00
1759492800000;26.2;2025-10-03 12:00:00
1759496400000;49.88;2025-10-03 13:00:00
1759500000000;63.39;2025-10-03 14:00:00
1759503600000;89.9;2025-10-03 15:00:00
1759507200000;120.76;2025-10-03 16:00:00
1759510800000;109.01;2025-10-03 17:00:00
1759514400000;75.04;2025-10-03 18:00:00
1759518000000;43.44;2025-10-03 19:00:00
1759521600000;25.4;2025-10-03 20:00:00
1759525200000;11.11;2025-10-03 21:00:00
1759528800000;0.73;2025-10-03 22:00:00
1759532400000;-0.01;2025-10-03 23:00:00
1759536000000;-0.04;2025-10-04 00:00:00
1759539600000;-0.1;2025-10-04 01:00:00
1759543200000;-1.13;2025-10-04 02:00:00
1759546800000;-1.91;2025-10-04 03:00:00
1759550400000;-1.92;2025-10-04 04:00:00
1759554000000;-0.78;2025-10-04 05:00:00
1759557600000;-0.3;2025-10-04 06:00:00
1759561200000;-0.16;2025-10-04 07:00:00
1759564800000;-0.09;2025-10-04 08:00:00
1759568400000;-0.1;2025-10-04 09:00:00
1759572000000;-0.08;2025-10-04 10:00:00
1759575600000;-0.44;2025-10-04 11:00:00
1759579200000;-2.05;2025-10-04 12:00:00
1759582800000;-2.61;2025-10-04 13:00:00
1759586400000;-0.1;2025-10-04 14:00:00
1759590000000;-0.09;2025-10-04 15:00:00
1759593600000;1.11;2025-10-04 16:00:00
1759597200000;3.23;2025-10-04 17:00:00
1759600800000;0.32;2025-10-04 18:00:00
1759604400000;-0.09;2025-10-04 19:00:00
1759608000000;-0.05;2025-10-04 20:00:00
1759611600000;-0.34;2025-10-04 21:00:00
1759615200000;-0.75;2025-10-04 22:00:00
1759618800000;-1.4;2025-10-04 23:00:00
1759622400000;-4.19;2025-10-05 00:00:00
1759626000000;-4.38;2025-10-05 01:00:00
1759629600000;-4.98;2025-10-05 02:00:00
1759633200000;-4.46;2025-10-05 03:00:00
1759636800000;-3.76;2025-10-05 04:00:00
1759640400000;-1.51;2025-10-05 05:00:00
1759644000000;-0.09;2025-10-05 06:00:00
1759647600000;-1.39;2025-10-05 07:00:00
1759651200000;-3.33;2025-10-05 08:00:00
1759654800000;-2.02;2025-10-05 09:00:00
1759658400000;-3.42;2025-10-05 10:00:00
1759662000000;-3.39;2025-10-05 11:00:00
1759665600000;-2.94;2025-10-05 12:00:00
1759669200000;-2.39;2025-10-05 13:00:00
1759672800000;-0.69;2025-10-05 14:00:00
1759676400000;0.85;2025-10-05 15:00:00
1759680000000;16.08;2025-10-05 16:00:00
1759683600000;35.05;2025-10-05 17:00:00
1759687200000;19.83;2025-10-05 18:00:00
1759690800000;5.48;2025-10-05 19:00:00
1759694400000;5.2;2025-10-05 20:00:00
1759698000000;4.08;2025-10-05 21:00:00
1759701600000;20.85;2025-10-05 22:00:00
1759705200000;10.05;2025-10-05 23:00:00
1759708800000;9.1;2025-10-06 00:00:00
1759712400000;10.73;2025-10-06 01:00:00
1759716000000;16.8;2025-10-06 02:00:00
1759719600000;22.6;2025-10-06 03:00:00
1759723200000;68.59;2025-10-06 04:00:00
1759726800000;105.05;2025-10-06 05:00:00
1759730400000;121.77;2025-10-06 06:00:00
1759734000000;121.12;2025-10-06 07:00:00
1759737600000;100.53;2025-10-06 08:00:00
1759741200000;89.3;2025-10-06 09:00:00
1759744800000;87.33;2025-10-06 10:00:00
1759748400000;84.6;2025-10-06 11:00:00
1759752000000;92.33;2025-10-06 12:00:00
1759755600000;94.55;2025-10-06 13:00:00
1759759200000;104.77;2025-10-06 14:00:00
1759762800000;120.29;2025-10-06 15:00:00
1759766400000;141.59;2025-10-06 16:00:00
1759770000000;168.32;2025-10-06 17:00:00
1759773600000;133.68;2025-10-06 18:00:00
1759777200000;120.2;2025-10-06 19:00:00
1759780800000;118.66;2025-10-06 20:00:00
1759784400000;105.5;2025-10-06 21:00:00
1759788000000;100.26;2025-10-06 22:00:00
1759791600000;93.99;2025-10-06 23:00:00
1759795200000;89.82;2025-10-07 00:00:00
1759798800000;89.55;2025-10-07 01:00:00
1759802400000;92.98;2025-10-07 02:00:00
1759806000000;96.74;2025-10-07 03:00:00
1759809600000;134.89;2025-10-07 04:00:00
1759813200000;228.56;2025-10-07 05:00:00
1759816800000;287.67;2025-10-07 06:00:00
1759820400000;212.18;2025-10-07 07:00:00
1759824000000;154.66;2025-10-07 08:00:00
1759827600000;129.91;2025-10-07 09:00:00
1759831200000;110.94;2025-10-07 10:00:00
1759834800000;106.18;2025-10-07 11:00:00
1759838400000;105.35;2025-10-07 12:00:00
1759842000000;113.16;2025-10-07 13:00:00
1759845600000;122.1;2025-10-07 14:00:00
1759849200000;151.84;2025-10-07 15:00:00
1759852800000;202.42;2025-10-07 16:00:00
1759856400000;213.28;2025-10-07 17:00:00
1759860000000;146.34;2025-10-07 18:00:00
1759863600000;123.24;2025-10-07 19:00:00
1759867200000;107.42;2025-10-07 20:00:00
1759870800000;97.48;2025-10-07 21:00:00
1759874400000;93.45;2025-10-07 22:00:00
1759878000000;88.44;2025-10-07 23:00:00
1759881600000;87.56;2025-10-08 00:00:00
1759885200000;86.98;2025-10-08 01:00:00
1759888800000;89.67;2025-10-08 02:00:00
1759892400000;97.39;2025-10-08 03:00:00
1759896000000;117.11;2025-10-08 04:00:00
1759899600000;155.58;2025-10-08 05:00:00
1759903200000;166.4;2025-10-08 06:00:00
1759906800000;135.18;2025-10-08 07:00:00
1759910400000;118.45;2025-10-08 08:00:00
1759914000000;103.33;2025-10-08 09:00:00
1759917600000;90.82;2025-10-08 10:00:00
1759921200000;89.34;2025-10-08 11:00:00
1759924800000;90.44;2025-10-08 12:00:00
1759928400000;99.43;2025-10-08 13:00:00
1759932000000;117.47;2025-10-08 14:00:00
1759935600000;149.48;2025-10-08 15:00:00
1759939200000;183.81;2025-10-08 16:00:00
1759942800000;199.0;2025-10-08 17:00:00
1759946400000;141.7;2025-10-08 18:00:00
1759950000000;114.74;2025-10-08 19:00:00
1759953600000;108.24;2025-10-08 20:00:00
1759957200000;97.83;2025-10-08 21:00:00
1759960800000;97.22;2025-10-08 22:00:00
1759964400000;92.58;2025-10-08 23:00:00
1759968000000;93.26;2025-10-09 00:00:00
1759971600000;90.82;2025-10-09 01:00:00
1759975200000;92.7;2025-10-09 02:00:00
1759978800000;101.15;2025-10-09 03:00:00
1759982400000;125.58;2025-10-09 04:00:00
1759986000000;145.0;2025-10-09 05:00:00
1759989600000;149.9;2025-10-09 06:00:00
1759993200000;132.49;2025-10-09 07:00:00
1759996800000;109.69;2025-10-09 08:00:00
1760000400000;96.96;2025-10-09 09:00:00
1760004000000;91.02;2025-10-09 10:00:00
1760007600000;83.35;2025-10-09 11:00:00
1760011200000;83.2;2025-10-09 12:00:00
1760014800000;88.83;2025-10-09 13:00:00
1760018400000;92.08;2025-10-09 14:00:00
1760022000000;110.01;2025-10-09 15:00:00
1760025600000;122.91;2025-10-09 16:00:00
1760029200000;123.11;2025-10-09 17:00:00
1760032800000;112.36;2025-10-09 18:00:00
1760036400000;98.09;2025-10-09 19:00:00
1760040000000;96.83;2025-10-09 20:00:00
1760043600000;88.7;2025-10-09 21:00:00
1760047200000;88.01;2025-10-09 22:00:00
1760050800000;84.97;2025-10-09 23:00:00
1760054400000;80.09;2025-10-10 00:00:00
1760058000000;78.29;2025-10-10 01:00:00
1760061600000;79.21;2025-10-10 02:00:00
1760065200000;86.07;2025-10-10 03:00:00
1760068800000;102.64;2025-10-10 04:00:00
1760072400000;119.33;2025-10-10 05:00:00
1760076000000;122.61;2025-10-10 06:00:00
1760079600000;107.77;2025-10-10 07:00:00
1760083200000;93.01;2025-10-10 08:00:00
1760086800000;82.12;2025-10-10 09:00:00
1760090400000;77.53;2025-10-10 10:00:00
1760094000000;75.69;2025-10-10 11:00:00
1760097600000;77.26;2025-10-10 12:00:00
1760101200000;88.9;2025-10-10 13:00:00
1760104800000;97.86;2025-10-10 14:00:00
1760108400000;118.2;2025-10-10 15:00:00
1760112000000;120.61;2025-10-10 16:00:00
1760115600000;123.29;2025-10-10 17:00:00
1760119200000;115.39;2025-10-10 18:00:00
1760122800000;103.92;2025-10-10 19:00:00
1760126400000;97.74;2025-10-10 20:00:00
1760130000000;93.35;2025-10-10 21:00:00
1760133600000;92.97;2025-10-10 22:00:00
1760137200000;88.84;2025-10-10 23:00:00
1760140800000;87.39;2025-10-11 00:00:00
1760144400000;84.18;2025-10-11 01:00:00
1760148000000;82.03;2025-10-11 02:00:00
1760151600000;84.76;2025-10-11 03:00:00
1760155200000;90.27;2025-10-11 04:00:00
1760158800000;96.75;2025-10-11 05:00:00
1760162400000;100.4;2025-10-11 06:00:00
1760166000000;92.96;2025-10-11 07:00:00
1760169600000;82.43;2025-10-11 08:00:00
1760173200000;74.02;2025-10-11 09:00:00
1760176800000;55.42;2025-10-11 10:00:00
1760180400000;46.77;2025-10-11 11:00:00
1760184000000;51.03;2025-10-11 12:00:00
1760187600000;76.94;2025-10-11 13:00:00
1760191200000;83.65;2025-10-11 14:00:00
1760194800000;114.01;2025-10-11 15:00:00
1760198400000;126.44;2025-10-11 16:00:00
1760202000000;130.17;2025-10-11 17:00:00
1760205600000;120.64;2025-10-11 18:00:00
1760209200000;112.54;2025-10-11 19:00:00
1760212800000;106.91;2025-10-11 20:00:00
1760216400000;95.1;2025-10-11 21:00:00
1760220000000;96.18;2025-10-11 22:00:00
1760223600000;92.17;2025-10-11 23:00:00
1760227200000;88.86;2025-10-12 00:00:00
1760230800000;85.13;2025-10-12 01:00:00
1760234400000;86.41;2025-10-12 02:00:00
1760238000000;86.66;2025-10-12 03:00:00
1760241600000;88.3;2025-10-12 04:00:00
1760245200000;89.17;2025-10-12 05:00:00
1760248800000;88.66;2025-10-12 06:00:00
1760252400000;83.06;2025-10-12 07:00:00
1760256000000;76.21;2025-10-12 08:00:00
1760259600000;71.9;2025-10-12 09:00:00
1760263200000;66.89;2025-10-12 10:00:00
1760266800000;52.16;2025-10-12 11:00:00
1760270400000;62.47;2025-10-12 12:00:00
1760274000000;79.99;2025-10-12 13:00:00
